Temperature Low,Temperature High,Temperature Avg,Relative Humidity Low,Relative Humidity High,Relative Humidity Avg,Mean Sea Level Pressure Low,Mean Sea Level Pressure High,Mean Sea Level Pressure,Cloud Cover Total,Cloud Cover High,Cloud Cover Medium,Cloud Cover Low,Sunshine Duration,Shortwave Radiation,Wind Speed Low,Wind Speed High,Wind Speed Avg,Wind Direction Dominant,Wind Gust Avg,Wind Gust High,Wind Gust Low,Precipitation Total
28.400951,39.704952,32.668453,68,87,79.416664,1035.1,1037.7,1036.2458,0.33333334,0,0,0.33333334,511.06046,1737.2799,1.0656,9.549612,4.888142,128.6598,3.6,23.039999,11.370002,0
31.06495,44.222954,36.6007,64,89,78.041664,1034.3,1037.4,1035.5294,53.8875,35,38.791668,43.916668,19.273048,880.20996,2.5132127,11.389962,5.998923,221.08176,1.08,34.2,18.48,2.6
32.558952,50.918953,41.021206,82,97,89.541664,1019.8,1038.3,1029.4501,72.137505,30.041666,28.666666,72,37.02128,799.22,2.028842,36.47735,14.429139,245.85106,5.7599998,77.03999,33.704998,3.6000001
35.85295,50.612953,39.5272,70,91,80.541664,1022.5,1040.2,1034.0624,47.416668,0,0,47.416668,355.8365,1288.72,2.1477854,27.706879,8.293808,299.74487,2.16,55.44,16.349998,1.6
30.308952,43.016953,34.922955,65,96,83.333336,1032.2,1040.2,1036.2792,0,0,0,0,518.93335,1854.7599,4.212154,7.2125063,5.6914525,103.35059,3.2399998,10.440001,5.745001,0
31.514952,43.988953,37.80445,50,82,69.416664,1025.4,1032.3,1028.871,21.258333,35.583332,19.208334,0,338.10596,1931.2999,1.0983953,7.539638,4.220568,124.183044,0.35999998,32.399998,6.4649997,0
37.292953,46.25695,40.831455,68,88,79.083336,1029.7,1033.8,1032.0416,72.36667,18.75,7.5833335,67.125,0,1360.8099,1.0656,8.411661,4.0434475,222.94794,7.2,27.359999,14.714999,0
35.85295,50.93695,44.190704,62,88,75.625,1031.3,1034.6,1033.2208,56.00417,18.958334,22.583334,51.5,178.58762,1627.81,5.651197,25.047268,12.96048,236.84207,16.199999,53.28,30.149994,0.2
43.55695,53.81695,48.098194,47,90,75.5,1027.3,1038.8,1033.9166,77.5,66.25,70.041664,56,34.468082,956.75,9.266738,32.209072,19.020243,252.05603,25.919998,66.24,41.489998,0.8000001
53.81695,59.666954,56.02121,68,83,77.416664,1017.8,1026.9,1022.9709,82.125,33.875,57.083332,44.958332,176.17021,1829.84,23.4432,32.65438,28.112879,259.3092,47.16,64.799995,57.690002,0
