Temperature Low,Temperature High,Relative Humidity High,Relative Humidity Avg,Mean Sea Level Pressure Low,Mean Sea Level Pressure High,Mean Sea Level Pressure,Cloud Cover Total,Cloud Cover High,Cloud Cover Medium,Cloud Cover Low,Shortwave Radiation,Wind Speed Low,Wind Speed High,Wind Gust High,Wind Gust Low,Precipitation Total
28.400951,39.704952,87,79.416664,1035.1,1037.7,1036.2458,0.33333334,0,0,0.33333334,1737.2799,1.0656,9.549612,23.039999,11.370002,0
31.06495,44.222954,89,78.041664,1034.3,1037.4,1035.5294,53.8875,35,38.791668,43.916668,880.20996,2.5132127,11.389962,34.2,18.48,2.6
32.558952,50.918953,97,89.541664,1019.8,1038.3,1029.4501,72.137505,30.041666,28.666666,72,799.22,2.028842,36.47735,77.03999,33.704998,3.6000001
35.85295,50.612953,91,80.541664,1022.5,1040.2,1034.0624,47.416668,0,0,47.416668,1288.72,2.1477854,27.706879,55.44,16.349998,1.6
30.308952,43.016953,96,83.333336,1032.2,1040.2,1036.2792,0,0,0,0,1854.7599,4.212154,7.2125063,10.440001,5.745001,0
31.514952,43.988953,82,69.416664,1025.4,1032.3,1028.871,21.258333,35.583332,19.208334,0,1931.2999,1.0983953,7.539638,32.399998,6.4649997,0
37.292953,46.25695,88,79.083336,1029.7,1033.8,1032.0416,72.36667,18.75,7.5833335,67.125,1360.8099,1.0656,8.411661,27.359999,14.714999,0
35.85295,50.93695,88,75.625,1031.3,1034.6,1033.2208,56.00417,18.958334,22.583334,51.5,1627.81,5.651197,25.047268,53.28,30.149994,0.2
43.55695,53.81695,90,75.5,1027.3,1038.8,1033.9166,77.5,66.25,70.041664,56,956.75,9.266738,32.209072,66.24,41.489998,0.8000001
53.81695,59.666954,83,77.416664,1017.8,1026.9,1022.9709,82.125,33.875,57.083332,44.958332,1829.84,23.4432,32.65438,64.799995,57.690002,0
38.98495,52.75495,86,75.916664,1019,1030.7,1025.7125,72.666664,16.583334,58.791668,57,1506.7701,11.775965,27.256247,49.32,40.274998,0.90000004
36.842953,53.87095,79,50.458332,1023.5,1030.8,1027.1708,87.708336,57.5,87.208336,4.5833335,1319.8699,2.8692157,24.560865,46.44,37.875,0
38.37295,54.050953,72,46.416668,1014.5,1024.4,1018.625,15.929166,10.041667,14.416667,5.75,1984.7,4.00487,19.98,47.519997,36.945,0
41.82895,51.18895,88,71.25,1015,1021.6,1017.84576,60.55,22.208334,40.041668,42.25,1533.47,5.8668513,26.452862,56.519997,40.844997,1.7
39.668953,55.760952,82,62.166668,1007.2,1020.4,1012.4875,73.97917,61.583332,73.416664,36.25,1358.1399,5.6637416,16.413353,42.48,32.789997,0
41.57695,54.69895,96,69.25,1004.4,1008.4,1006.55,83.875,57.416668,83.875,81.666664,790.31995,4.5833187,15.266371,42.12,29.745,11.2
32.468952,42.65695,89,84.208336,1008.6,1020.3,1014.42084,76.083336,15.375,76.083336,71.25,1026.17,2.028842,17.274965,26.64,19.59,1.9000001
30.164951,42.17095,93,78.25,1013.5,1021.4,1017.52924,49.375,6.5,49.375,0,2120.8699,4.336678,11.15386,15.4800005,11.114998,0
29.984951,41.99095,94,81.625,1009.6,1013.8,1011.54156,84.916664,26.583334,79.291664,79.458336,1207.73,0.5328,11.380612,24.48,11.189999,3
34.17895,38.98495,93,86.375,1010.3,1012.2,1011.4666,97.666664,1,88.833336,97.583336,1615.3501,1.0656,12.723215,19.8,11.5650015,2
32.72095,42.69295,95,83.541664,1007.3,1011.8,1009.18756,53.458332,1.25,43.5,35.25,2241.91,0.5328,20.469507,26.28,12.719998,0
29.552952,40.04695,95,87.291664,1007.9,1018,1012.1375,63.291668,0,55.375,60.666668,1836.0701,1.7057923,7.947476,19.08,9.81,0
32.036953,38.93095,96,88.25,1018.4,1024.8,1021.2625,100,0,0,100,892.67004,2.664,11.999834,21.24,12.419999,0
30.614952,37.95895,96,84.625,1020.9,1025.2,1023.4209,89.666664,10.125,35.333332,76.041664,1488.9701,0.5956885,24.601286,34.2,17.07,1.3000001
30.29095,39.34495,96,84.666664,1025.6,1030.9,1029.2083,72.683334,11.208333,28.916666,60.375,2304.2097,1.4346079,19.099226,34.2,21.51,0
34.43095,39.29095,92,85.25,1021.5,1030,1026.525,100,33.666668,95.75,96.25,1059.9901,2.9784424,17.574326,40.32,17.67,4.6
35.49295,41.27095,91,82.083336,1021.1,1024.3,1023.24164,92.083336,5.7083335,37.166668,85.666664,1488.08,7.501892,20.547369,33.839996,22.589998,2.2
34.412952,43.82695,94,78.333336,1006.6,1024.1,1018.125,87.225,27.625,52.291668,71,1846.75,8.258399,21.208517,45.36,26.789999,1.5
34.79095,45.21295,93,75.416664,977.9,1006.2,996.46246,95.708336,91.666664,88.916664,88,1882.3499,10.685928,30.150314,62.639996,44.324997,3.8999999
31.244951,41.90095,88,77.958336,976.1,981.4,978.45,77.166664,13.916667,72.291664,62.333332,2108.41,18.920027,31.023876,52.56,44.099995,1.6000001
33.54895,41.41495,92,77.875,980.6,987.3,983.02924,88.041664,15.041667,88.041664,78.458336,1259.3499,9.770018,25.92306,50.399998,30.705004,2.1
32.774952,38.516953,91,81.375,986.1,996.6,990.67914,75.083336,0,63.416668,69,1258.46,12.061772,34.49031,51.839996,40.589996,1.4000001
31.514952,37.49095,95,85.125,995.1,1004.9,1001.96246,97.416664,0,63.041668,97.416664,1503.2101,7.4782047,33.375572,51.12,31.230001,5
30.488953,39.95695,93,78.041664,1000.4,1004.6,1002.3291,70.958336,54.083332,66.875,49.916668,2427.03,3.4115846,14.748554,24.119999,13.7699995,0
28.724953,36.53695,83,72.208336,1004.3,1013.1,1007.8625,8.554167,6.625,7.6666665,1.6666666,2710.94,2.1477854,18.95937,30.239998,20.939999,0
28.562952,35.04295,72,65.833336,1010.5,1013.7,1012.13745,87.958336,4.5416665,44.875,84.166664,1929.52,9.910653,25.906628,39.239998,30.284996,0
28.886951,35.90695,72,64.666664,1013.9,1019.5,1015.7834,2,0.25,2,1.0833334,2834.6501,7.835059,26.621346,51.48,40.334995,0
25.358952,36.662952,76,61.666668,1020.3,1030.4,1025.6292,8.4375,8.666667,8.125,0,2948.5698,0.5328,21.658829,49.68,31.815002,0
27.06895,37.97695,89,77.708336,1028.5,1033.6,1031.0751,24.320833,1.5,0,24.083334,2703.82,0.2664,29.24703,42.12,18.839998,0
29.606953,42.13495,88,73.083336,1031.3,1035.7,1033.6542,57.041668,0.5,0,57.041668,2770.5698,2.382754,14.770192,21.599998,15.105002,0
28.742952,43.61095,96,83.333336,1028.7,1033.4,1031.0709,11.791667,0,0,11.791667,2961.92,0.2664,15.034498,27,16.200003,0
31.082952,48.488953,96,80.625,1023.5,1029.2,1026.5416,14.125,0,0,14.125,3058.93,5.117377,15.888252,20.880001,13.875,0
31.640951,52.03495,90,74.458336,1020.7,1024.3,1022.5791,0,0,0,0,3122.1199,3.0374274,6.6600003,9,4.935,0
38.516953,53.582954,82,59.625,1015.2,1022.9,1019.6125,68.2125,30.916666,67.75,21.916666,2986.84,1.8837326,7.743951,22.68,10.290001,0
42.836952,50.522953,81,70.625,1007.7,1014.4,1010.6916,98.541664,2,90.833336,85.458336,1855.6499,3.013972,13.250555,36,21.824999,0.4
39.92095,50.234955,92,78.041664,1007.4,1014.4,1009.5459,91.791664,1,91.791664,50.625,2667.3298,2.2916594,8.262695,18.359999,10.500001,1.6
35.72695,47.93095,93,84.416664,1014.7,1021.2,1018.2292,71.625,0.9166667,16.583334,55.458332,2952.13,1.0656,6.236264,12.959999,7.3349986,0
34.412952,45.64495,96,84.875,1021.3,1037.1,1029.3792,59.458332,1.875,30.208334,38,2799.94,0,12.132174,24.119999,9.2699995,0
31.406952,43.862953,95,84.291664,1036.1,1039.7,1037.9501,52.208332,0,0,52.208332,3301.9,0.2664,6.179102,18.359999,9.2699995,0
31.17295,45.86095,94,77.041664,1027.1,1037.6,1032.6167,0,0,0,0,3471.89,0.2664,8.05392,20.880001,10.469999,0
35.61895,55.58095,85,60.625,1009.6,1026.9,1019.50006,0,0,0,0,3511.94,2.664,14.854039,34.2,21.225002,0
37.99495,42.49495,89,73.916664,1001,1008.3,1003.4084,87.5,37.791668,87.5,86.708336,1003.92,2.5132127,22.91195,55.44,32.670002,3.3000002
37.09495,44.61895,93,77.5,1003.7,1011.5,1008.5,56.375,11.958333,38.25,56.375,2315.78,1.8837326,7.6285353,12.24,8.52,0
33.38695,51.56695,93,80.25,999,1010.3,1004.22076,68.479164,35.125,62.333332,46.041668,1480.07,3.2189233,19.403358,38.16,23.819998,2.1000001
39.02095,45.55495,84,75.666664,1003.2,1016.9,1008.7292,85.375,17.5,63.541668,57.625,2882.7102,8.03186,15.4512005,30.960001,23.849998,0.1
35.70895,46.760952,89,70.25,1017.2,1021.3,1019.0791,49,0.083333336,1.1666666,49,3738.89,1.8837326,11.605993,27.359999,13.005,0.5
35.996952,50.234955,87,69.125,1013.3,1021.4,1018.325,66.958336,0,16.541666,62.791668,3649,0.753493,9.827957,11.5199995,7.5599995,0
39.11095,43.43095,90,80.958336,1008.5,1022.4,1014.06256,100,33.75,93.291664,100,1163.23,5.2878885,19.556372,32.039997,23.145002,12.2
33.224953,44.996952,88,77.791664,1018.3,1024.3,1021.6584,28.233332,1,8.958333,22.625,3540.4197,0.3767465,9.185971,22.319998,10.259999,0
36.55495,52.88095,79,70.5,1009.7,1017.6,1012.33746,97.25,60.791668,65.791664,83.625,1063.55,4.598777,22.009863,47.519997,31.125002,0.5
39.74095,52.28695,88,74,1006.7,1021.3,1012.20416,38.333332,8.791667,4.4583335,35.166668,2467.9697,14.515746,31.286974,62.279995,49.965,2.1000001
32.702953,51.15295,86,66.958336,1021.6,1026,1023.6418,35.958332,4.4166665,18.125,23,4124.2603,3.554219,19.7082,38.519997,26.324999,1
37.058952,44.56495,88,72.791664,1023.6,1031.3,1027.1832,58.125,1.125,36.166668,51.375,2211.65,6.074855,14.846872,31.68,21.96,0.70000005
33.56695,44.294952,85,71,1031.2,1037.3,1034.7125,24.833334,0,0.7083333,24.125,4037.9302,2.6237357,19.197443,34.92,24.810003,0
35.870953,48.68695,76,65.333336,1035.2,1038.7,1037.1041,8.833333,0,0,8.833333,4231.0596,1.0656,7.463956,23.039999,11.760001,0
33.404953,57.39895,81,64.083336,1030.5,1037.3,1033.3998,18.741667,19.041666,18.166666,0,4179.44,5.7384315,11.501571,23.4,15.704998,0
40.676952,58.92895,74,60.25,1023.5,1030.7,1026.7377,32.695835,80.375,19.041666,0,4393.9297,0.79920006,10.508459,26.28,12.389999,0
45.30295,58.80295,80,64.833336,1023.9,1026.4,1024.9083,47.7375,56.208332,42.791668,0,4389.4795,1.332,8.343893,11.879999,5.565,0
